id,category,title,type,priority,published,published_date,filename
B-15,ClaudeCode×自動化,Claude Codeで売上が下がった原因をBigQueryから自動で仮説生成させる,tech,1,FALSE,,
B-16,ClaudeCode×自動化,Claude Code × Looker Studio APIでダッシュボードを自動更新する,tech,3,FALSE,,
B-17,ClaudeCode×自動化,Claude Codeでクロスチャネルアトリビューション分析を自動化した,tech,3,FALSE,,
B-18,ClaudeCode×自動化,非エンジニアEC経営者がClaude Code × BigQueryで自走できるようになるまで,idea,1,FALSE,,
B-19,ClaudeCode×自動化,Claude CodeのAgents SDK × BigQueryで複数ECサイトを一括監視する,tech,3,FALSE,,
B-20,ClaudeCode×自動化,Claude Code × BigQueryでEC広告の予算配分を自動最適化する提案ツールを作った,tech,2,FALSE,,
C-01,EC向けデータ分析,中小ECのLTV分析をGA4×BigQueryで無料構築する方法【SQLテンプレ付き】,tech,1,FALSE,,
C-02,EC向けデータ分析,EC売上が下がったとき最初に確認すべきBigQueryクエリ5選,tech,1,FALSE,,
C-03,EC向けデータ分析,GA4×BigQueryでカート放棄率を正確に計測・改善する方法,tech,1,FALSE,,
C-04,EC向けデータ分析,チャネル別ROASをBigQueryで集計してLooker Studioに可視化する,tech,1,FALSE,,
C-05,EC向けデータ分析,EC商品ページの離脱率をGA4×BigQueryで分析して改善につなげた事例,idea,2,FALSE,,
C-06,EC向けデータ分析,GA4×BigQueryで初回購入→リピートまでのファネルを可視化する,tech,1,FALSE,,
C-07,EC向けデータ分析,BigQueryでEC顧客をRFM分析してセグメント別メルマガ戦略を立てた,idea,2,FALSE,,
C-08,EC向けデータ分析,GA4×BigQueryでGoogle広告のキーワード別CVRを正確に測定する,tech,2,FALSE,,
C-09,EC向けデータ分析,Meta広告×GA4×BigQueryでクリエイティブ別ROASを深掘りする,tech,2,FALSE,,
C-10,EC向けデータ分析,ECの季節変動をBigQueryで前年比分析して仕入れ計画に活かす方法,idea,2,FALSE,,
C-11,EC向けデータ分析,GA4×BigQueryでモバイルとPCの購買行動の違いを分析した,idea,2,FALSE,,
C-12,EC向けデータ分析,BigQueryでEC商品別の粗利×CVR×流入数をまとめた利益ダッシュボードを作った,idea,2,FALSE,,
C-13,EC向けデータ分析,GA4×BigQueryでSNS流入の質を測定してInstagramとTikTokを比較した,idea,2,FALSE,,
C-14,EC向けデータ分析,ユーザーの閲覧から購入までの日数分布をBigQueryで可視化する,tech,3,FALSE,,
C-15,EC向けデータ分析,BigQueryで1回しか買わない顧客と2回以上買う顧客の行動差を分析した,idea,2,FALSE,,
C-16,EC向けデータ分析,GA4×BigQueryでメルマガのROIを正確に測定する,tech,2,FALSE,,
C-17,EC向けデータ分析,ECサイトのサイト内検索キーワードをGA4×BigQueryで分析して品揃えを改善した,idea,3,FALSE,,
C-18,EC向けデータ分析,BigQueryでGA4の流入経路×購入金額のヒートマップを作成した,tech,3,FALSE,,
C-19,EC向けデータ分析,GA4×BigQueryでEC新規顧客獲得コスト（CAC）を媒体別に正確計算する,tech,2,FALSE,,
C-20,EC向けデータ分析,BigQueryで売上上位20%の商品が生み出す収益構造をパレート分析した,idea,2,FALSE,,
C-21,EC向けデータ分析,GA4×BigQueryでEC定期購入の継続率を分析する,tech,3,FALSE,,
C-22,EC向けデータ分析,BigQueryでGA4データからEC顧客の年齢・性別推定精度を検証した,tech,3,FALSE,,
C-23,EC向けデータ分析,GA4×BigQueryでポイント還元施策の効果をコホート分析で検証した,idea,3,FALSE,,
C-24,EC向けデータ分析,BigQueryでEC季節商品の売上予測モデルを作った話,tech,3,FALSE,,
C-25,EC向けデータ分析,GA4×BigQueryでECサイトの速度改善がCVRに与えた影響を測定した,idea,3,FALSE,,
D-01,LookerStudio,Looker Studio × BigQueryでEC売上ダッシュボードを1日で作る完全手順,tech,1,FALSE,,
D-02,LookerStudio,Looker StudioでBigQueryに接続するときの料金を最小化する設定,tech,2,FALSE,,
D-03,LookerStudio,Looker StudioのブレンディングでGA4×広告データを結合する方法,tech,2,FALSE,,
D-04,LookerStudio,Looker Studioのデータポータルが重い・遅い問題をBigQuery化で解決した,idea,1,FALSE,,
D-05,LookerStudio,Looker Studio × BigQueryで経営者が毎朝見るダッシュボードの設計思想,idea,1,FALSE,,
D-06,LookerStudio,Looker StudioのGA4コネクタとBigQueryコネクタの違いと使い分け,tech,2,FALSE,,
D-07,LookerStudio,Looker Studioでドリルダウン機能を使ったEC分析ダッシュボードを作る,tech,2,FALSE,,
D-08,LookerStudio,BigQuery × Looker Studioで前年同期比グラフを作る方法,tech,2,FALSE,,
D-09,LookerStudio,Looker Studioのカスタム指標でROAS・CPAを自動計算する設定,tech,2,FALSE,,
D-10,LookerStudio,Looker Studio × BigQueryでスマホ最適化したダッシュボードを作る,tech,3,FALSE,,
D-11,LookerStudio,Looker Studioのレポートを自動でPDF化してメール送信する方法,tech,2,FALSE,,
D-12,LookerStudio,BigQuery × Looker StudioでEC事業の月次KPIレポートを自動化した,idea,2,FALSE,,
D-13,LookerStudio,Looker Studioのテンプレートを有料販売するときの設計と注意点,idea,2,FALSE,,
D-14,LookerStudio,Looker Studio × BigQueryでGoogle広告とMeta広告を一画面で比較する,tech,2,FALSE,,
D-15,LookerStudio,GA4 × BigQuery × Looker Studioで完全自動のEC分析基盤を0から構築する全手順,tech,1,FALSE,,
E-01,GTM×GA4,GTMでGA4のeコマース計測を完全設定する手順【Shopify対応】,tech,1,FALSE,,
E-02,GTM×GA4,GTMのデータレイヤーを使ったGA4カスタムイベント設計のベストプラクティス,tech,2,FALSE,,
E-03,GTM×GA4,GA4×GTMでフォーム送信の計測が取れないときのデバッグ手順,tech,1,FALSE,,
E-04,GTM×GA4,GTMでGA4のスクロール率・動画再生をイベント計測する方法,tech,2,FALSE,,
E-05,GTM×GA4,GA4×GTMでサイト内検索キーワードを正しく計測する設定,tech,2,FALSE,,
E-06,GTM×GA4,GTMのサーバーサイドタギングでGA4データの精度を上げる入門,tech,3,FALSE,,
E-07,GTM×GA4,GA4×GTMでLINE広告・TikTok広告のコンバージョン計測を設定する,tech,2,FALSE,,
E-08,GTM×GA4,GTMのワークスペース・バージョン管理でチーム開発を効率化する,tech,3,FALSE,,
E-09,GTM×GA4,GA4移行後にデータが取れていない問題を解決するGTMデバッグ手順,tech,1,FALSE,,
E-10,GTM×GA4,GTM × GA4でA/Bテスト結果を自動計測する仕組みを作る,tech,2,FALSE,,
F-01,フリーランス・ビジネス,ококонаで売れるGA4×BigQuery×Claude Codeサービスを受注するためのZenn活用戦略,idea,2,FALSE,,
F-02,フリーランス・ビジネス,WEBコンサルタントがClaude CodeでSQLを書く時間をゼロにした話,idea,1,FALSE,,
F-03,フリーランス・ビジネス,フリーランスがデータ分析スキルでококона月収を3倍にした方法,idea,2,FALSE,,
F-04,フリーランス・ビジネス,AI検索時代のGA4活用術―ChatGPT流入をBigQueryで追跡する,idea,1,FALSE,,
F-05,フリーランス・ビジネス,非エンジニアのEC経営者がClaude Codeで自走できるまで【全記録】,idea,1,FALSE,,
F-06,フリーランス・ビジネス,中小EC経営者がデータ分析に月1万円投資すべき理由,idea,2,FALSE,,
F-07,フリーランス・ビジネス,GA4×BigQueryを自社導入したEC事業者が最初の1週間で気づいたこと,idea,2,FALSE,,
F-08,フリーランス・ビジネス,Zennで技術記事を書き続けたら3ヶ月でフリーランス案件が増えた話,idea,3,FALSE,,
F-09,フリーランス・ビジネス,WEBコンサルタントのサービス単価を5倍にしたデータ基盤提案の話し方,idea,2,FALSE,,
F-10,フリーランス・ビジネス,Claude Codeを使ったデータ分析サービスの提案書テンプレートを公開する,idea,2,FALSE,,
